rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_commander_dense,-0.835659,-0.414229,-0.360677,206.3672,-21.1418,12177.9,12179.8,0.00332226,1
2,planck_commander_dense,-0.832746,-0.414377,-0.367188,206.4551,-21.5423,9331.47,9332.34,0.00332226,1
3,planck_commander_dense,-0.905167,-0.416278,0.085938,204.6973,4.9299,4647.04,5081.6,0.00332226,1
4,planck_commander_dense,-0.900190,-0.427449,0.083333,205.4004,4.7802,4154.7,4164.28,0.00332226,1
5,planck_commander_dense,0.038407,0.758070,-0.651042,87.0996,-40.6202,3649.7,3661.14,0.00332226,1
6,planck_commander_dense,0.016605,0.773061,-0.634115,88.7695,-39.3543,3581.3,3587.27,0.00332226,1
7,planck_commander_dense,-0.800593,-0.571222,-0.180990,215.5078,-10.4274,3442.83,3451.7,0.00332226,1
8,planck_commander_dense,0.036883,0.800904,-0.597656,87.3633,-36.7022,3410.96,3.90276,0.00332226,0
9,planck_commander_dense,0.018513,0.804437,-0.593750,88.6816,-36.4236,3144.45,3144.45,0.00332226,1
10,planck_commander_dense,-0.218304,-0.951643,-0.216146,257.0801,-12.4828,3047.22,3055.19,0.00332226,1
11,planck_commander_dense,0.085507,0.793248,-0.602865,83.8477,-37.0753,2742.67,2809.46,0.00332226,1
12,planck_commander_dense,0.084186,0.792399,-0.604167,83.9355,-37.1689,2729.36,2812.32,0.00332226,1
13,planck_commander_dense,-0.214656,-0.962812,-0.164062,257.4316,-9.4428,2555.49,9.36129,0.00332226,0
14,planck_commander_dense,0.095684,0.775787,-0.623698,82.9688,-38.5867,2490.89,2490.89,0.00332226,1
15,planck_commander_dense,0.188451,-0.845273,-0.500000,282.5684,-30.0000,2408.48,2408.48,0.00332226,1
16,planck_commander_dense,0.151833,-0.859377,-0.488281,280.0195,-29.2277,2311.75,2314.31,0.00332226,1
17,planck_commander_dense,0.939757,0.126166,-0.317708,7.6465,-18.5244,2138.36,3.54998,0.00332226,0
18,planck_commander_dense,0.184516,-0.852210,-0.489583,282.2168,-29.3132,2023.37,2023.37,0.00332226,1
19,planck_commander_dense,0.927303,0.117261,-0.355469,7.2070,-20.8222,2016.07,2037.19,0.00332226,1
20,planck_commander_dense,0.938112,0.171687,-0.300781,10.3711,-17.5045,2006.28,2006.28,0.00332226,1
