rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_commander_final,-0.818065,-0.460119,-0.345052,209.3555,-20.1850,34957.2,2362.87,0.00332226,1
2,planck_commander_final,0.010540,0.763406,-0.645833,89.2090,-40.2282,4364.71,4381.51,0.00332226,1
3,planck_commander_final,0.020987,0.759867,-0.649740,88.4180,-40.5220,4018.49,4037.62,0.00332226,1
4,planck_commander_final,0.062450,0.781244,-0.621094,85.4297,-38.3960,2782.25,17.5581,0.00332226,0
5,planck_commander_final,0.118790,-0.827020,-0.549479,278.1738,-33.3313,2072.48,2484.93,0.00332226,1
6,planck_commander_final,0.929241,-0.051368,0.365885,356.8359,21.4621,1455.98,15.2927,0.00332226,0
7,planck_commander_final,0.759530,0.521096,0.389323,34.4531,22.9124,966.891,980.379,0.00332226,1
8,planck_commander_final,0.752062,0.497521,0.432292,33.4863,25.6131,930.247,4.8946,0.00332226,0
9,planck_commander_final,0.131170,-0.377514,0.916667,289.1602,66.4435,807.936,845.865,0.00332226,1
10,planck_commander_final,-0.867488,0.234345,-0.438802,164.8828,-26.0275,777.364,777.364,0.00332226,1
