rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_commander_official,0.020516,0.786549,-0.617188,88.5059,-38.1110,3318.85,9.00764,0.00332226,0
2,planck_commander_official,0.040420,0.797802,-0.601562,87.0996,-36.9819,3315.36,3.84148,0.00332226,0
3,planck_commander_official,-0.917411,-0.389935,0.079427,203.0273,4.5556,2748.61,2755.02,0.00332226,1
4,planck_commander_official,0.080514,0.780625,-0.619792,84.1113,-38.3009,2678.68,13.3798,0.00332226,0
5,planck_commander_official,0.910279,0.178164,-0.373698,11.0742,-21.9439,2496.77,2631.59,0.00332226,1
6,planck_commander_official,0.925499,0.127144,-0.356771,7.8223,-20.9020,1681.52,9.12367,0.00332226,0
7,planck_commander_official,0.916514,0.146026,-0.372396,9.0527,-21.8635,1650.44,1715.91,0.00332226,1
8,planck_commander_official,0.777267,0.502281,0.378906,32.8711,22.2659,1049.33,1049.33,0.00332226,1
9,planck_commander_official,0.886162,-0.323221,0.332031,339.9609,19.3921,864.852,902.086,0.00332226,1
10,planck_commander_official,-0.220975,-0.970112,0.100260,257.1680,5.7542,768.293,885.072,0.00332226,1
