rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_nilc_dense,-0.621795,0.673483,-0.399740,132.7148,-23.5619,39.6911,39.6911,0.00332226,1
2,planck_nilc_dense,-0.634924,0.654708,-0.410156,134.1211,-24.2147,39.4094,39.4094,0.00332226,1
3,planck_nilc_dense,-0.625423,0.662985,-0.411458,133.3301,-24.2965,38.0142,38.0142,0.00332226,1
4,planck_nilc_dense,-0.620880,0.670425,-0.406250,132.8027,-23.9695,37.9634,37.9634,0.00332226,1
5,planck_nilc_dense,-0.663835,0.511539,0.545573,142.3828,33.0638,31.2339,nan,0.0232558,1
6,planck_nilc_dense,-0.145802,0.101923,0.984049,145.0446,79.7528,30.8078,nan,0.0265781,1
7,planck_nilc_dense,-0.157866,0.117470,0.980448,143.3468,78.6515,30.2077,nan,0.0265781,1
8,planck_nilc_dense,0.335109,0.100849,0.936766,16.7489,69.5154,28.7384,nan,0.0431894,1
9,planck_nilc_dense,-0.149961,0.095700,0.984049,147.4554,79.7528,28.7072,nan,0.0431894,1
10,planck_nilc_dense,-0.628448,0.678597,-0.380208,132.8027,-22.3466,28.2252,nan,0.0431894,1
11,planck_nilc_dense,0.481654,-0.856353,0.186198,299.3555,10.7310,28.1868,nan,0.0431894,1
12,planck_nilc_dense,0.500181,-0.846234,0.183594,300.5859,10.5792,28.1475,nan,0.0431894,1
13,planck_nilc_dense,0.854735,0.314733,-0.412760,20.2148,-24.3784,28.0387,nan,0.0431894,1
14,planck_nilc_dense,0.497928,-0.735393,-0.459635,304.1016,-27.3636,27.8974,nan,0.0431894,1
15,planck_nilc_dense,-0.164958,0.126315,0.978179,142.5573,78.0086,27.5979,nan,0.0465116,1
16,planck_nilc_dense,0.479776,-0.744946,-0.463542,302.7832,-27.6159,26.8059,nan,0.0631229,1
17,planck_nilc_dense,0.043165,-0.156271,0.986771,285.4412,80.6699,26.7007,nan,0.076412,1
18,planck_nilc_dense,0.052703,-0.153317,0.986771,288.9706,80.6699,26.0881,nan,0.0930233,1
19,planck_nilc_dense,0.350376,0.107893,0.930374,17.1154,68.4932,26.067,nan,0.0930233,1
20,planck_nilc_dense,0.476390,-0.859292,0.186198,299.0039,10.7310,25.9078,nan,0.0963455,1
