rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_nilc_final,0.807667,-0.035953,-0.588542,357.4512,-36.0536,28.8589,nan,0.0398671,1
2,planck_nilc_final,-0.544652,-0.034796,0.837940,183.6555,56.9232,27.439,nan,0.0465116,1
3,planck_nilc_final,0.916708,-0.205854,0.342448,347.3438,20.0261,25.1706,nan,0.116279,1
4,planck_nilc_final,-0.611599,0.691667,-0.384115,131.4844,-22.5888,23.8192,nan,0.17608,1
5,planck_nilc_final,-0.537650,-0.034838,0.842448,183.7074,57.3995,23.4311,nan,0.222591,1
6,planck_nilc_final,-0.534358,-0.175386,-0.826862,198.1707,-55.7778,23.0352,nan,0.242525,1
7,planck_nilc_final,-0.477987,-0.288415,-0.829666,211.1066,-56.0645,22.615,nan,0.272425,1
8,planck_nilc_final,0.221306,0.729547,-0.647135,73.1250,-40.3260,22.2162,nan,0.299003,1
9,planck_nilc_final,-0.636166,0.676449,-0.371094,133.2422,-21.7831,21.3474,nan,0.385382,1
10,planck_nilc_final,0.021159,-0.170280,-0.985168,277.0833,-80.1197,21.2274,nan,0.395349,1
