rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_nilc_official,-0.479117,-0.564853,0.671855,229.6949,42.2104,29.0117,nan,0.0398671,1
2,planck_nilc_official,-0.127784,0.134838,0.982594,133.4615,79.2941,25.3762,nan,0.109635,1
3,planck_nilc_official,-0.142100,0.101699,0.984614,144.4091,79.9363,25.0152,nan,0.129568,1
4,planck_nilc_official,-0.501009,-0.178225,-0.846892,199.5821,-57.8752,24.6068,nan,0.142857,1
5,planck_nilc_official,-0.883361,-0.184179,-0.430990,191.7773,-25.5304,24.5641,nan,0.142857,1
6,planck_nilc_official,-0.472094,-0.570735,0.671855,230.4035,42.2104,24.5305,nan,0.142857,1
7,planck_nilc_official,0.806644,0.271980,-0.524740,18.6328,-31.6507,24.1576,nan,0.166113,1
8,planck_nilc_official,0.470288,0.504815,0.723872,47.0279,46.3751,24.1134,nan,0.166113,1
9,planck_nilc_official,-0.315794,-0.270840,-0.909351,220.6180,-65.4159,24.0962,nan,0.166113,1
10,planck_nilc_official,0.221578,0.722459,-0.654948,72.9492,-40.9157,23.9943,nan,0.172757,1
