rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_sevem_dense,-0.832746,-0.414377,-0.367188,206.4551,-21.5423,628.081,628.081,0.00332226,1
2,planck_sevem_dense,-0.835659,-0.414229,-0.360677,206.3672,-21.1418,284.041,284.041,0.00332226,1
3,planck_sevem_dense,-0.621795,0.673483,-0.399740,132.7148,-23.5619,40.1296,40.1296,0.00332226,1
4,planck_sevem_dense,-0.634924,0.654708,-0.410156,134.1211,-24.2147,39.5678,39.5678,0.00332226,1
5,planck_sevem_dense,-0.620880,0.670425,-0.406250,132.8027,-23.9695,37.8385,37.8385,0.00332226,1
6,planck_sevem_dense,-0.625423,0.662985,-0.411458,133.3301,-24.2965,37.8353,37.8353,0.00332226,1
7,planck_sevem_dense,-0.762105,-0.541999,-0.354167,215.4199,-20.7424,34.0144,33.7349,0.00332226,1
8,planck_sevem_dense,-0.663835,0.511539,0.545573,142.3828,33.0638,31.62,nan,0.0199336,1
9,planck_sevem_dense,-0.157866,0.117470,0.980448,143.3468,78.6515,29.6686,nan,0.0265781,1
10,planck_sevem_dense,-0.145802,0.101923,0.984049,145.0446,79.7528,29.4207,nan,0.0299003,1
11,planck_sevem_dense,0.335109,0.100849,0.936766,16.7489,69.5154,29.3385,nan,0.0365449,1
12,planck_sevem_dense,0.481654,-0.856353,0.186198,299.3555,10.7310,28.9608,nan,0.0398671,1
13,planck_sevem_dense,-0.628448,0.678597,-0.380208,132.8027,-22.3466,28.3174,nan,0.0431894,1
14,planck_sevem_dense,0.500181,-0.846234,0.183594,300.5859,10.5792,28.1844,nan,0.0431894,1
15,planck_sevem_dense,0.854735,0.314733,-0.412760,20.2148,-24.3784,28.0103,nan,0.0431894,1
16,planck_sevem_dense,0.497928,-0.735393,-0.459635,304.1016,-27.3636,27.7079,nan,0.0431894,1
17,planck_sevem_dense,0.043165,-0.156271,0.986771,285.4412,80.6699,27.6551,nan,0.0465116,1
18,planck_sevem_dense,-0.149961,0.095700,0.984049,147.4554,79.7528,27.2682,nan,0.0531561,1
19,planck_sevem_dense,0.479776,-0.744946,-0.463542,302.7832,-27.6159,27.2359,nan,0.0531561,1
20,planck_sevem_dense,-0.005685,-0.926480,-0.376302,269.6484,-22.1048,26.9928,nan,0.0564784,1
