rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_sevem_final,-0.818065,-0.460119,-0.345052,209.3555,-20.1850,551.062,40.1173,0.00332226,1
2,planck_sevem_final,-0.780255,-0.502517,-0.372396,212.7832,-21.8635,38.1981,38.1981,0.00332226,1
3,planck_sevem_final,0.807667,-0.035953,-0.588542,357.4512,-36.0536,29.2536,nan,0.0365449,1
4,planck_sevem_final,-0.544652,-0.034796,0.837940,183.6555,56.9232,26.8101,nan,0.0631229,1
5,planck_sevem_final,0.916708,-0.205854,0.342448,347.3438,20.0261,24.4728,nan,0.149502,1
6,planck_sevem_final,-0.534358,-0.175386,-0.826862,198.1707,-55.7778,23.9678,nan,0.17608,1
7,planck_sevem_final,-0.611599,0.691667,-0.384115,131.4844,-22.5888,23.6346,nan,0.199336,1
8,planck_sevem_final,-0.537650,-0.034838,0.842448,183.7074,57.3995,23.2721,nan,0.222591,1
9,planck_sevem_final,-0.011408,-0.929562,-0.368490,269.2969,-21.6225,23.1729,nan,0.232558,1
10,planck_sevem_final,0.221306,0.729547,-0.647135,73.1250,-40.3260,22.5075,nan,0.27907,1
