rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_sevem_official,-0.479117,-0.564853,0.671855,229.6949,42.2104,30.287,nan,0.0265781,1
2,planck_sevem_official,-0.127784,0.134838,0.982594,133.4615,79.2941,25.8344,nan,0.10299,1
3,planck_sevem_official,-0.472094,-0.570735,0.671855,230.4035,42.2104,25.7797,nan,0.10299,1
4,planck_sevem_official,-0.501009,-0.178225,-0.846892,199.5821,-57.8752,24.9718,nan,0.129568,1
5,planck_sevem_official,-0.883361,-0.184179,-0.430990,191.7773,-25.5304,24.7917,nan,0.136213,1
6,planck_sevem_official,-0.142100,0.101699,0.984614,144.4091,79.9363,24.5219,nan,0.142857,1
7,planck_sevem_official,-0.315794,-0.270840,-0.909351,220.6180,-65.4159,24.4752,nan,0.149502,1
8,planck_sevem_official,0.806644,0.271980,-0.524740,18.6328,-31.6507,24.3862,nan,0.152824,1
9,planck_sevem_official,0.226845,0.716055,-0.660156,72.4219,-41.3118,24.0494,nan,0.172757,1
10,planck_sevem_official,0.221578,0.722459,-0.654948,72.9492,-40.9157,24.0145,nan,0.172757,1
