rank,map_label,center_x,center_y,center_z,ra_deg,dec_deg,score,p_value,passes_single_pixel_check
1,planck_smica,0.948561,0.316593,0.001302,18.4570,0.0746,452.113,0.00662252,1
2,planck_smica,0.958887,0.281264,0.037760,16.3477,2.1640,319.766,0.00662252,1
3,planck_smica,0.956832,0.285450,0.054688,16.6113,3.1349,295.432,0.00662252,1
4,planck_smica,0.995894,-0.090380,0.005208,354.8145,0.2984,221.582,0.00662252,1
5,planck_smica,-0.520862,0.842409,-0.138021,121.7285,-7.9333,181.646,0.00662252,1
6,planck_smica,-0.871855,-0.400958,-0.281250,204.6973,-16.3348,164.359,0.00662252,1
7,planck_smica,-0.521890,0.849890,-0.072917,121.5527,-4.1815,159.544,0.00662252,1
8,planck_smica,-0.561852,0.813573,-0.149740,124.6289,-8.6118,158.889,0.00662252,1
9,planck_smica,0.371120,-0.928014,0.032552,291.7969,1.8654,150.516,0.00662252,1
10,planck_smica,0.434470,0.900671,-0.005208,64.2480,-0.2984,137.794,0.00662252,1
