rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_smica_dense,0.124177,-0.386144,0.914042,287.8269,66.0701,2611.34,9.27818,0.00332226,0
2,planck_smica_dense,0.119169,-0.436900,0.891581,285.2568,63.0726,2523.2,2535.5,0.00332226,1
3,planck_smica_dense,0.114639,-0.416826,0.901728,285.3777,64.3862,2409.37,11.5358,0.00332226,0
4,planck_smica_dense,0.119038,-0.450520,0.884795,284.8007,62.2263,2394.24,2405.08,0.00332226,1
5,planck_smica_dense,0.135383,-0.448916,0.883259,286.7822,62.0380,2362.09,2397.01,0.00332226,1
6,planck_smica_dense,0.158452,-0.442843,0.882487,289.6875,61.9438,2093.02,2144.42,0.00332226,1
7,planck_smica_dense,0.167453,-0.352972,0.920527,295.3800,67.0033,1970.94,1970.94,0.00332226,1
8,planck_smica_dense,-0.516314,0.849553,-0.108073,121.2891,-6.2042,102.095,9.56335,0.00332226,0
9,planck_smica_dense,-0.520436,0.847523,-0.104167,121.5527,-5.9792,88.3422,7.72954,0.00332226,0
10,planck_smica_dense,-0.539599,0.829424,-0.144531,123.0469,-8.3101,67.6923,57.0755,0.00332226,1
11,planck_smica_dense,-0.621795,0.673483,-0.399740,132.7148,-23.5619,40.1501,40.1501,0.00332226,1
12,planck_smica_dense,-0.634924,0.654708,-0.410156,134.1211,-24.2147,38.9802,38.9802,0.00332226,1
13,planck_smica_dense,-0.625423,0.662985,-0.411458,133.3301,-24.2965,38.1961,38.1961,0.00332226,1
14,planck_smica_dense,-0.620880,0.670425,-0.406250,132.8027,-23.9695,37.8409,37.8409,0.00332226,1
15,planck_smica_dense,-0.663835,0.511539,0.545573,142.3828,33.0638,31.3632,nan,0.0199336,1
16,planck_smica_dense,-0.145802,0.101923,0.984049,145.0446,79.7528,30.1985,nan,0.0265781,1
17,planck_smica_dense,-0.157866,0.117470,0.980448,143.3468,78.6515,30.0641,nan,0.0265781,1
18,planck_smica_dense,0.335109,0.100849,0.936766,16.7489,69.5154,28.8581,nan,0.0398671,1
19,planck_smica_dense,0.481654,-0.856353,0.186198,299.3555,10.7310,28.5216,nan,0.0431894,1
20,planck_smica_dense,-0.628448,0.678597,-0.380208,132.8027,-22.3466,28.3176,nan,0.0431894,1
