rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_smica_mad,0.131170,-0.377514,0.916667,289.1602,66.4435,2818.72,nan,0.0163934,1
2,planck_smica_mad,0.178914,-0.409639,0.894531,293.5938,63.4483,2284.24,nan,0.0163934,1
3,planck_smica_mad,0.807667,-0.035953,-0.588542,357.4512,-36.0536,27.9113,nan,0.0491803,1
4,planck_smica_mad,-0.544652,-0.034796,0.837940,183.6555,56.9232,26.7699,nan,0.0655738,1
5,planck_smica_mad,-0.611599,0.691667,-0.384115,131.4844,-22.5888,23.2333,nan,0.213115,1
6,planck_smica_mad,-0.011408,-0.929562,-0.368490,269.2969,-21.6225,23.207,nan,0.213115,1
7,planck_smica_mad,0.916708,-0.205854,0.342448,347.3438,20.0261,22.9086,nan,0.229508,1
8,planck_smica_mad,-0.534358,-0.175386,-0.826862,198.1707,-55.7778,22.6412,nan,0.262295,1
9,planck_smica_mad,-0.537650,-0.034838,0.842448,183.7074,57.3995,22.5835,nan,0.262295,1
10,planck_smica_mad,0.221306,0.729547,-0.647135,73.1250,-40.3260,22.3077,nan,0.278689,1
