rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_smica_masked_v3,0.131170,-0.377514,0.916667,289.1602,66.4435,6654.15,6755.5,0.00662252,1
2,planck_smica_masked_v3,0.178914,-0.409639,0.894531,293.5938,63.4483,5389.57,3.34441,0.00662252,0
3,planck_smica_masked_v3,0.807667,-0.035953,-0.588542,357.4512,-36.0536,37.3159,37.4674,0.00662252,1
4,planck_smica_masked_v3,0.118790,-0.827020,-0.549479,278.1738,-33.3313,25.7937,nan,0.0728477,1
5,planck_smica_masked_v3,-0.011408,-0.929562,-0.368490,269.2969,-21.6225,25.7456,nan,0.0728477,1
6,planck_smica_masked_v3,-0.544652,-0.034796,0.837940,183.6555,56.9232,23.7491,nan,0.125828,1
7,planck_smica_masked_v3,-0.611599,0.691667,-0.384115,131.4844,-22.5888,23.6614,nan,0.125828,1
8,planck_smica_masked_v3,-0.883878,-0.209907,-0.417969,193.3594,-24.7064,22.8107,nan,0.152318,1
9,planck_smica_masked_v3,-0.534358,-0.175386,-0.826862,198.1707,-55.7778,21.4964,nan,0.238411,1
10,planck_smica_masked_v3,0.074719,0.294793,0.952635,75.7772,72.2951,21.359,nan,0.251656,1
