rank,map_label,center_x,center_y,center_z,gal_l_deg,gal_b_deg,score,score_after_scrub,p_value,passes_single_pixel_check
1,planck_smica_official,0.172094,-0.439280,0.881713,291.3934,61.8496,896.076,956.708,0.00332226,1
2,planck_smica_official,-0.479117,-0.564853,0.671855,229.6949,42.2104,30.4553,nan,0.0265781,1
3,planck_smica_official,-0.472094,-0.570735,0.671855,230.4035,42.2104,26.0921,nan,0.0930233,1
4,planck_smica_official,-0.127784,0.134838,0.982594,133.4615,79.2941,25.4799,nan,0.109635,1
5,planck_smica_official,-0.501009,-0.178225,-0.846892,199.5821,-57.8752,25.3587,nan,0.109635,1
6,planck_smica_official,-0.142100,0.101699,0.984614,144.4091,79.9363,24.6449,nan,0.136213,1
7,planck_smica_official,-0.883361,-0.184179,-0.430990,191.7773,-25.5304,24.413,nan,0.152824,1
8,planck_smica_official,0.806644,0.271980,-0.524740,18.6328,-31.6507,24.3767,nan,0.152824,1
9,planck_smica_official,-0.315794,-0.270840,-0.909351,220.6180,-65.4159,24.243,nan,0.159468,1
10,planck_smica_official,0.226845,0.716055,-0.660156,72.4219,-41.3118,23.7979,nan,0.179402,1
